Year,Week,Resort,Visitors,Avg_Max_Temp,Avg_Min_Temp,Avg_Temp,Temp_Range,Total_Rainfall,Max_Daily_Rain,Snow_Days,Powder_Days,Week_Start_Date,Week_End_Date,Cluster
2014,1,Mt. Baw Baw,555.0,5.171428571428571,0.7714285714285715,2.971428571428571,4.3999999999999995,14.8,10.8,0,0,2014-06-08,2014-06-14,2.0
2014,1,Mt. Stirling,60.0,4.514285714285714,-0.42857142857142855,2.0428571428571427,4.942857142857143,20.0,9.6,0,0,2014-06-08,2014-06-14,2.0
2014,1,Mt. Hotham,3483.0,3.642857142857143,-1.3714285714285712,1.1357142857142857,5.014285714285714,34.4,26.0,2,0,2014-06-08,2014-06-14,1.0
2014,1,Falls Creek,2790.0,4.685714285714285,-0.49999999999999994,2.0928571428571425,5.185714285714285,23.2,11.2,0,0,2014-06-08,2014-06-14,2.0
2014,1,Mt. Buller,8296.0,4.514285714285714,-0.42857142857142855,2.0428571428571427,4.942857142857143,20.0,9.6,0,0,2014-06-08,2014-06-14,2.0
2014,1,Thredbo,5535.0,4.742857142857143,-2.385714285714286,1.1785714285714284,7.128571428571429,30.6,20.6,1,0,2014-06-08,2014-06-14,2.0
2014,1,Perisher,7370.0,6.285714285714286,-1.8857142857142857,2.2,8.17142857142857,24.6,14.0,0,0,2014-06-08,2014-06-14,2.0
2014,1,Charlotte Pass,408.0,6.957142857142857,1.4142857142857141,4.185714285714286,5.542857142857143,12.6,12.6,0,0,2014-06-08,2014-06-14,2.0
2014,2,Mt. Baw Baw,804.0,4.8428571428571425,0.7714285714285715,2.807142857142857,4.071428571428571,41.2,20.4,1,0,2014-06-15,2014-06-21,3.0
2014,2,Mt. Stirling,42.0,4.799999999999999,-0.3428571428571429,2.228571428571428,5.1428571428571415,55.4,40.4,1,0,2014-06-15,2014-06-21,3.0
2014,2,Mt. Hotham,1253.0,2.3142857142857145,-1.5285714285714285,0.392857142857143,3.842857142857143,18.0,8.6,3,1,2014-06-15,2014-06-21,1.0
2014,2,Falls Creek,1425.0,3.7285714285714286,-0.5714285714285714,1.5785714285714287,4.3,7.6,4.2,1,0,2014-06-15,2014-06-21,1.0
2014,2,Mt. Buller,1987.0,4.799999999999999,-0.3428571428571429,2.228571428571428,5.1428571428571415,55.4,40.4,1,0,2014-06-15,2014-06-21,3.0
2014,2,Thredbo,2090.0,2.1714285714285713,-1.5999999999999999,0.2857142857142857,3.7714285714285714,18.0,10.0,2,0,2014-06-15,2014-06-21,1.0
2014,2,Perisher,2751.0,4.485714285714286,-1.4714285714285718,1.5071428571428571,5.957142857142857,51.2,37.6,1,0,2014-06-15,2014-06-21,3.0
2014,2,Charlotte Pass,151.0,6.185714285714286,1.2714285714285716,3.7285714285714286,4.914285714285715,24.6,16.6,0,0,2014-06-15,2014-06-21,2.0
2014,3,Mt. Baw Baw,993.0,2.1428571428571432,-1.3571428571428572,0.392857142857143,3.5000000000000004,63.20000000000001,31.6,2,0,2014-06-22,2014-06-28,3.0
2014,3,Mt. Stirling,30.0,1.2428571428571427,-2.142857142857143,-0.45000000000000007,3.3857142857142852,117.4,70.2,6,1,2014-06-22,2014-06-28,0.0
2014,3,Mt. Hotham,2992.0,0.02857142857142847,-2.7571428571428576,-1.3642857142857145,2.785714285714286,28.0,18.2,4,1,2014-06-22,2014-06-28,1.0
2014,3,Falls Creek,2101.0,1.1857142857142855,-2.2,-0.5071428571428573,3.3857142857142857,59.199999999999996,23.8,6,1,2014-06-22,2014-06-28,0.0
2014,3,Mt. Buller,2413.0,1.2428571428571427,-2.142857142857143,-0.45000000000000007,3.3857142857142852,117.4,70.2,6,1,2014-06-22,2014-06-28,0.0
2014,3,Thredbo,3216.0,-0.12857142857142856,-3.7428571428571433,-1.935714285714286,3.6142857142857148,4.2,3.2,2,0,2014-06-22,2014-06-28,1.0
2014,3,Perisher,4255.0,2.1571428571428575,-2.3857142857142857,-0.1142857142857141,4.542857142857143,182.79999999999998,66.8,5,1,2014-06-22,2014-06-28,3.0
2014,3,Charlotte Pass,230.0,2.9142857142857146,-0.2428571428571429,1.3357142857142859,3.1571428571428575,98.80000000000001,38.4,2,0,2014-06-22,2014-06-28,3.0
2014,4,Mt. Baw Baw,2976.0,2.1999999999999997,-1.2428571428571427,0.47857142857142854,3.442857142857142,73.00000000000001,37.6,4,2,2014-06-29,2014-07-05,0.0
2014,4,Mt. Stirling,165.0,0.7857142857142857,-2.157142857142857,-0.6857142857142857,2.9428571428571426,65.4,22.2,4,2,2014-06-29,2014-07-05,0.0
2014,4,Mt. Hotham,9680.0,-1.2142857142857142,-3.8000000000000003,-2.507142857142857,2.5857142857142863,0.6,0.6,1,0,2014-06-29,2014-07-05,1.0
2014,4,Falls Creek,9544.0,1.2,-3.0857142857142854,-0.9428571428571427,4.285714285714286,27.0,11.0,3,3,2014-06-29,2014-07-05,0.0
2014,4,Mt. Buller,18831.0,0.7857142857142857,-2.157142857142857,-0.6857142857142857,2.9428571428571426,65.4,22.2,4,2,2014-06-29,2014-07-05,0.0
2014,4,Thredbo,15497.0,-1.5142857142857142,-4.6000000000000005,-3.0571428571428574,3.0857142857142863,0.4,0.2,2,0,2014-06-29,2014-07-05,1.0
2014,4,Perisher,20265.0,2.6000000000000005,-2.7857142857142856,-0.09285714285714253,5.385714285714286,76.4,38.0,3,1,2014-06-29,2014-07-05,3.0
2014,4,Charlotte Pass,1134.0,3.0142857142857147,-1.0857142857142856,0.9642857142857145,4.1000000000000005,41.4,17.2,3,2,2014-06-29,2014-07-05,0.0
2014,5,Mt. Baw Baw,11112.0,0.8571428571428573,-1.7714285714285716,-0.45714285714285713,2.628571428571429,77.4,22.6,4,1,2014-07-06,2014-07-12,3.0
2014,5,Mt. Stirling,645.0,-0.22857142857142865,-2.7857142857142856,-1.5071428571428571,2.557142857142857,100.4,35.2,5,1,2014-07-06,2014-07-12,0.0
2014,5,Mt. Hotham,29628.0,-1.4857142857142858,-3.3714285714285714,-2.428571428571429,1.8857142857142857,3.2,3.0,2,0,2014-07-06,2014-07-12,1.0
2014,5,Falls Creek,26211.0,-0.4714285714285714,-3.0285714285714285,-1.75,2.557142857142857,20.799999999999997,8.2,5,2,2014-07-06,2014-07-12,0.0
2014,5,Mt. Buller,49217.0,-0.22857142857142865,-2.7857142857142856,-1.5071428571428571,2.557142857142857,100.4,35.2,5,1,2014-07-06,2014-07-12,0.0
2014,5,Thredbo,46546.0,-1.3714285714285717,-4.528571428571429,-2.9500000000000006,3.1571428571428575,3.0,2.0,2,0,2014-07-06,2014-07-12,1.0
2014,5,Perisher,61339.0,1.0428571428571427,-2.8857142857142857,-0.9214285714285715,3.9285714285714284,49.99999999999999,25.4,5,0,2014-07-06,2014-07-12,1.0
2014,5,Charlotte Pass,3403.0,0.7714285714285715,-1.4142857142857141,-0.32142857142857134,2.1857142857142855,69.4,35.4,5,0,2014-07-06,2014-07-12,3.0
2014,6,Mt. Baw Baw,13381.0,0.38571428571428573,-2.5285714285714285,-1.0714285714285714,2.914285714285714,85.4,31.0,5,3,2014-07-13,2014-07-19,0.0
2014,6,Mt. Stirling,1316.0,-1.0142857142857145,-3.5714285714285716,-2.292857142857143,2.557142857142857,38.6,14.4,7,1,2014-07-13,2014-07-19,0.0
2014,6,Mt. Hotham,36665.0,-2.1857142857142855,-4.442857142857143,-3.314285714285714,2.2571428571428576,0.6,0.6,1,0,2014-07-13,2014-07-19,1.0
2014,6,Falls Creek,33392.0,-0.6,-4.3,-2.4499999999999997,3.6999999999999997,63.0,35.2,4,3,2014-07-13,2014-07-19,0.0
2014,6,Mt. Buller,59693.0,-1.0142857142857145,-3.5714285714285716,-2.292857142857143,2.557142857142857,38.6,14.4,7,1,2014-07-13,2014-07-19,0.0
2014,6,Thredbo,58668.0,-2.0714285714285716,-5.471428571428572,-3.7714285714285722,3.400000000000001,3.5999999999999996,1.4,3,0,2014-07-13,2014-07-19,1.0
2014,6,Perisher,76855.0,1.4142857142857146,-4.542857142857143,-1.564285714285714,5.957142857142857,55.800000000000004,20.4,3,2,2014-07-13,2014-07-19,0.0
2014,6,Charlotte Pass,4305.0,2.5714285714285716,-2.257142857142857,0.15714285714285725,4.828571428571429,40.8,11.6,3,1,2014-07-13,2014-07-19,1.0
2014,7,Mt. Baw Baw,8832.0,3.8999999999999995,-0.442857142857143,1.7285714285714282,4.3428571428571425,1.6,1.6,0,0,2014-07-20,2014-07-26,2.0
2014,7,Mt. Stirling,684.0,2.2714285714285714,-2.157142857142857,0.05714285714285716,4.428571428571429,22.2,16.4,3,0,2014-07-20,2014-07-26,1.0
2014,7,Mt. Hotham,26465.0,0.0,-3.8714285714285714,-1.9357142857142857,3.8714285714285714,39.6,20.0,6,0,2014-07-20,2014-07-26,1.0
2014,7,Falls Creek,28149.0,3.5714285714285707,-1.3142857142857143,1.1285714285714281,4.885714285714285,6.4,3.8,2,0,2014-07-20,2014-07-26,1.0
2014,7,Mt. Buller,45788.0,2.2714285714285714,-2.157142857142857,0.05714285714285716,4.428571428571429,22.2,16.4,3,0,2014-07-20,2014-07-26,1.0
2014,7,Thredbo,44109.0,0.6142857142857142,-5.185714285714286,-2.285714285714286,5.8,1.4,1.4,1,0,2014-07-20,2014-07-26,1.0
2014,7,Perisher,57593.0,5.0,-5.014285714285714,-0.0071428571428571175,10.014285714285714,3.6,2.0,0,0,2014-07-20,2014-07-26,2.0
2014,7,Charlotte Pass,3236.0,5.885714285714285,0.5285714285714286,3.207142857142857,5.357142857142857,1.5999999999999999,1.4,0,0,2014-07-20,2014-07-26,2.0
2014,8,Mt. Baw Baw,9347.0,2.1714285714285713,-0.9285714285714286,0.6214285714285713,3.0999999999999996,57.800000000000004,26.6,2,2,2014-07-27,2014-08-02,3.0
2014,8,Mt. Stirling,1250.0,0.7714285714285715,-1.942857142857143,-0.5857142857142859,2.7142857142857144,99.00000000000001,60.2,3,2,2014-07-27,2014-08-02,0.0
2014,8,Mt. Hotham,21679.0,-0.6142857142857142,-3.085714285714286,-1.85,2.4714285714285715,94.80000000000001,41.6,3,1,2014-07-27,2014-08-02,3.0
2014,8,Falls Creek,24565.0,0.41428571428571426,-2.4285714285714284,-1.0071428571428571,2.8428571428571425,36.4,18.2,3,0,2014-07-27,2014-08-02,1.0
2014,8,Mt. Buller,41720.0,0.7714285714285715,-1.942857142857143,-0.5857142857142859,2.7142857142857144,99.00000000000001,60.2,3,2,2014-07-27,2014-08-02,0.0
2014,8,Thredbo,39654.0,-0.27142857142857146,-3.5142857142857147,-1.892857142857143,3.2428571428571433,30.0,13.8,2,0,2014-07-27,2014-08-02,1.0
2014,8,Perisher,52426.0,2.3428571428571425,-2.0,0.17142857142857126,4.3428571428571425,59.599999999999994,17.0,2,2,2014-07-27,2014-08-02,3.0
2014,8,Charlotte Pass,2901.0,3.5285714285714285,-0.17142857142857146,1.6785714285714286,3.6999999999999997,18.2,8.2,1,0,2014-07-27,2014-08-02,1.0
2014,9,Mt. Baw Baw,10071.0,2.314285714285714,-2.9285714285714284,-0.30714285714285716,5.242857142857142,12.2,5.4,2,0,2014-08-03,2014-08-09,1.0
2014,9,Mt. Stirling,1280.0,1.0999999999999999,-4.328571428571428,-1.6142857142857143,5.428571428571428,9.6,8.4,2,1,2014-08-03,2014-08-09,1.0
2014,9,Mt. Hotham,31019.0,0.5285714285714286,-4.614285714285714,-2.0428571428571427,5.142857142857142,3.2,2.6,2,0,2014-08-03,2014-08-09,1.0
2014,9,Falls Creek,28981.0,2.414285714285714,-3.4142857142857146,-0.5000000000000002,5.828571428571429,0.4,0.4,1,0,2014-08-03,2014-08-09,2.0
2014,9,Mt. Buller,48984.0,1.0999999999999999,-4.328571428571428,-1.6142857142857143,5.428571428571428,9.6,8.4,2,1,2014-08-03,2014-08-09,1.0
2014,9,Thredbo,46875.0,2.242857142857143,-5.485714285714286,-1.6214285714285714,7.728571428571429,0.0,0.0,0,0,2014-08-03,2014-08-09,2.0
2014,9,Perisher,62654.0,5.3999999999999995,-7.200000000000001,-0.9000000000000008,12.600000000000001,0.0,0.0,0,0,2014-08-03,2014-08-09,2.0
2014,9,Charlotte Pass,3391.0,4.542857142857143,-1.542857142857143,1.5,6.085714285714285,0.2,0.2,0,0,2014-08-03,2014-08-09,2.0
2014,10,Mt. Baw Baw,11071.0,3.157142857142857,-2.357142857142857,0.3999999999999999,5.514285714285714,27.6,14.4,3,2,2014-08-10,2014-08-16,1.0
2014,10,Mt. Stirling,1653.0,3.2714285714285714,-3.9285714285714293,-0.32857142857142896,7.200000000000001,10.399999999999999,5.4,2,1,2014-08-10,2014-08-16,2.0
2014,10,Mt. Hotham,30360.0,1.4714285714285715,-5.414285714285714,-1.971428571428571,6.885714285714285,4.8,3.8,2,0,2014-08-10,2014-08-16,1.0
2014,10,Falls Creek,33125.0,3.2428571428571433,-4.499999999999999,-0.6285714285714279,7.742857142857142,2.0,2.0,1,0,2014-08-10,2014-08-16,2.0
2014,10,Mt. Buller,47315.0,3.2714285714285714,-3.9285714285714293,-0.32857142857142896,7.200000000000001,10.399999999999999,5.4,2,1,2014-08-10,2014-08-16,2.0
2014,10,Thredbo,48777.0,1.2714285714285716,-6.942857142857142,-2.8357142857142854,8.214285714285714,0.6000000000000001,0.4,1,0,2014-08-10,2014-08-16,2.0
2014,10,Perisher,64928.0,3.857142857142857,-7.771428571428572,-1.9571428571428575,11.62857142857143,6.0,3.4,2,0,2014-08-10,2014-08-16,2.0
2014,10,Charlotte Pass,3549.0,5.857142857142857,-2.3857142857142857,1.7357142857142855,8.242857142857142,0.0,0.0,0,0,2014-08-10,2014-08-16,2.0
2014,11,Mt. Baw Baw,10079.0,4.814285714285714,-0.4428571428571428,2.1857142857142855,5.257142857142857,19.200000000000003,12.8,0,0,2014-08-17,2014-08-23,2.0
2014,11,Mt. Stirling,902.0,4.3,-0.8428571428571429,1.7285714285714284,5.142857142857142,0.4,0.4,0,0,2014-08-17,2014-08-23,2.0
2014,11,Mt. Hotham,35923.0,2.457142857142857,-1.6714285714285713,0.3928571428571428,4.128571428571428,21.999999999999996,17.8,2,0,2014-08-17,2014-08-23,1.0
2014,11,Falls Creek,36486.0,4.128571428571428,-0.9285714285714286,1.5999999999999996,5.057142857142857,24.4,20.4,1,0,2014-08-17,2014-08-23,2.0
2014,11,Mt. Buller,43314.0,4.3,-0.8428571428571429,1.7285714285714284,5.142857142857142,0.4,0.4,0,0,2014-08-17,2014-08-23,2.0
2014,11,Thredbo,49003.0,2.1,-4.485714285714286,-1.1928571428571428,6.585714285714285,19.4,9.2,2,0,2014-08-17,2014-08-23,2.0
2014,11,Perisher,64834.0,5.142857142857143,-3.7142857142857144,0.7142857142857144,8.857142857142858,75.8,57.6,1,0,2014-08-17,2014-08-23,2.0
2014,11,Charlotte Pass,3608.0,7.8999999999999995,0.7428571428571429,4.321428571428571,7.157142857142857,8.0,5.0,0,0,2014-08-17,2014-08-23,2.0
2014,12,Mt. Baw Baw,7635.0,7.442857142857143,1.7142857142857142,4.578571428571428,5.728571428571429,9.6,6.8,0,0,2014-08-24,2014-08-30,2.0
2014,12,Mt. Stirling,847.0,6.357142857142857,1.2142857142857142,3.7857142857142856,5.142857142857142,0.6000000000000001,0.4,0,0,2014-08-24,2014-08-30,2.0
2014,12,Mt. Hotham,32657.0,5.085714285714286,-0.4,2.342857142857143,5.485714285714287,9.399999999999999,8.2,1,0,2014-08-24,2014-08-30,2.0
2014,12,Falls Creek,34468.0,6.4142857142857155,0.11428571428571425,3.2642857142857147,6.300000000000002,9.0,8.4,0,0,2014-08-24,2014-08-30,2.0
2014,12,Mt. Buller,41063.0,6.357142857142857,1.2142857142857142,3.7857142857142856,5.142857142857142,0.6000000000000001,0.4,0,0,2014-08-24,2014-08-30,2.0
2014,12,Thredbo,44164.0,3.3571428571428568,-2.9714285714285715,0.19285714285714262,6.328571428571428,15.0,7.4,2,0,2014-08-24,2014-08-30,2.0
2014,12,Perisher,59121.0,6.071428571428571,-2.9285714285714284,1.5714285714285714,9.0,32.4,16.0,0,0,2014-08-24,2014-08-30,2.0
2014,12,Charlotte Pass,3258.0,8.757142857142858,1.0285714285714285,4.892857142857143,7.7285714285714295,1.2,1.0,0,0,2014-08-24,2014-08-30,2.0
2014,13,Mt. Baw Baw,4681.0,5.771428571428572,-0.08571428571428573,2.8428571428571434,5.857142857142858,40.6,30.6,1,1,2014-08-31,2014-09-06,2.0
2014,13,Mt. Stirling,522.0,4.385714285714285,-1.5571428571428572,1.4142857142857141,5.942857142857142,29.8,23.2,1,1,2014-08-31,2014-09-06,2.0
2014,13,Mt. Hotham,28855.0,0.7428571428571428,-3.1,-1.1785714285714286,3.842857142857143,6.0,4.8,3,0,2014-08-31,2014-09-06,1.0
2014,13,Falls Creek,30104.0,3.2285714285714286,-1.885714285714286,0.6714285714285714,5.114285714285715,25.4,19.2,2,2,2014-08-31,2014-09-06,2.0
2014,13,Mt. Buller,41063.0,4.385714285714285,-1.5571428571428572,1.4142857142857141,5.942857142857142,29.8,23.2,1,1,2014-08-31,2014-09-06,2.0
2014,13,Thredbo,38470.0,0.8428571428571429,-4.814285714285715,-1.985714285714286,5.6571428571428575,9.2,3.8,4,0,2014-08-31,2014-09-06,1.0
2014,13,Perisher,50737.0,4.457142857142857,-4.114285714285714,0.1714285714285717,8.571428571428571,35.199999999999996,21.0,2,0,2014-08-31,2014-09-06,2.0
2014,13,Charlotte Pass,2837.0,8.142857142857142,-0.07142857142857137,4.035714285714286,8.214285714285714,6.4,6.4,0,0,2014-08-31,2014-09-06,2.0
2014,14,Mt. Baw Baw,1904.0,6.271428571428571,1.0714285714285716,3.6714285714285717,5.199999999999999,34.4,22.2,1,0,2014-09-07,2014-09-13,2.0
2014,14,Mt. Stirling,267.0,5.5857142857142845,0.24285714285714294,2.9142857142857137,5.342857142857142,33.6,18.6,0,0,2014-09-07,2014-09-13,2.0
2014,14,Mt. Hotham,18708.0,4.628571428571429,-1.242857142857143,1.692857142857143,5.871428571428572,90.40000000000002,69.0,2,0,2014-09-07,2014-09-13,3.0
2014,14,Falls Creek,23864.0,5.814285714285715,-0.2571428571428572,2.778571428571429,6.071428571428572,44.8,41.0,0,0,2014-09-07,2014-09-13,2.0
2014,14,Mt. Buller,26222.0,5.5857142857142845,0.24285714285714294,2.9142857142857137,5.342857142857142,33.6,18.6,0,0,2014-09-07,2014-09-13,2.0
2014,14,Thredbo,25734.0,4.214285714285714,-2.314285714285714,0.9500000000000002,6.5285714285714285,49.0,46.8,2,0,2014-09-07,2014-09-13,2.0
2014,14,Perisher,33833.0,7.071428571428571,-1.2857142857142858,2.892857142857143,8.357142857142858,49.0,48.8,0,0,2014-09-07,2014-09-13,2.0
2014,14,Charlotte Pass,1898.0,9.128571428571428,2.1,5.614285714285714,7.0285714285714285,25.2,25.2,0,0,2014-09-07,2014-09-13,2.0
2014,15,Mt. Baw Baw,0.0,4.357142857142858,-0.1857142857142858,2.085714285714286,4.542857142857144,51.6,16.8,3,2,2014-09-14,2014-09-20,0.0
2014,15,Mt. Stirling,66.0,4.414285714285714,-1.3857142857142857,1.514285714285714,5.799999999999999,20.8,11.8,2,2,2014-09-14,2014-09-20,2.0
2014,15,Mt. Hotham,11117.0,3.400000000000001,-2.3714285714285714,0.5142857142857147,5.771428571428572,13.199999999999998,9.2,2,1,2014-09-14,2014-09-20,2.0
2014,15,Falls Creek,15869.0,5.628571428571428,-1.5999999999999999,2.0142857142857142,7.228571428571428,3.0,1.8,2,0,2014-09-14,2014-09-20,2.0
2014,15,Mt. Buller,11881.0,4.414285714285714,-1.3857142857142857,1.514285714285714,5.799999999999999,20.8,11.8,2,2,2014-09-14,2014-09-20,2.0
2014,15,Thredbo,13890.0,2.371428571428571,-2.3,0.03571428571428559,4.671428571428571,10.599999999999998,2.8,3,0,2014-09-14,2014-09-20,1.0
2014,15,Perisher,18381.0,6.028571428571429,-2.0428571428571427,1.9928571428571433,8.071428571428573,19.2,11.0,1,0,2014-09-14,2014-09-20,2.0
2014,15,Charlotte Pass,995.0,8.342857142857142,1.1714285714285715,4.757142857142856,7.17142857142857,9.600000000000001,6.4,0,0,2014-09-14,2014-09-20,2.0
2015,1,Mt. Baw Baw,3185.0,5.942857142857143,-0.11428571428571425,2.9142857142857146,6.057142857142857,20.400000000000002,10.4,1,1,2015-06-08,2015-06-14,2.0
2015,1,Mt. Stirling,39.0,6.285714285714286,0.028571428571428532,3.157142857142857,6.257142857142857,17.8,17.2,1,1,2015-06-08,2015-06-14,2.0
