Week_Number,Season_Week,Forecast_Temp,Lower_CI,Upper_CI
174,9,-2.334233922662178,-5.395255768753449,0.7267879234290935
175,10,-1.4000376174558857,-4.472495030887943,1.6724197959761722
176,11,-1.661775317422491,-4.743002789359703,1.4194521545147207
177,12,-1.5784740067328227,-4.666431635766523,1.5094836223008778
178,13,-1.0268064709264069,-4.119930713644623,2.0663177717918084
179,14,-0.5398018818110365,-3.6368927111924148,2.557288947570342
180,15,-0.36577392240313644,-3.4659091251910787,2.734361280384806
181,1,-1.6552945372166852,-4.75654038169984,1.4459513072664694
182,2,-2.0239647336703195,-5.1270149722238605,1.0790855048832215
183,3,-2.1679570710276326,-5.272395102674263,0.9364809606189985
184,4,-2.4167063575661665,-5.52221182528962,0.6887991101572868
185,5,-1.9809672524599862,-5.087293736379912,1.125359231459939
186,6,-3.3823781596005937,-6.489336055313085,-0.2754202638881016
187,7,-2.6861081384093013,-5.793551504722239,0.4213352279036364
188,8,-2.0730418943127806,-5.1808583426333925,1.0347745540078312
